Número de informe,Nombre de la Evaluación,Etapa,Componente ambiental,Procedencia de la Muestra,Procedencia Especifica de la Muestra,Nombre del punto,Este,Norte,Altitud,Zona,Datum,Descripción de ubicación,Tipo de muestra,Tipo de análisis,Etapa de extracción secuencial,Caracterización de la muestra,Fecha,Hora,Valor,Parámetro,Unidad de medida
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU01,479882,9527330,271,17,WGS84,"Muestra puntual de suelo tomada a 2 m en dirección sureste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:41:00 PM,<0.30,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU01,479882,9527330,271,17,WGS84,"Muestra puntual de suelo tomada a 2 m en dirección sureste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:41:00 PM,6428,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU02,479886,9527336,271,17,WGS84,"Muestra puntual de suelo tomada a 7,5 m en dirección noreste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo.",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:53:00 PM,217,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU02,479886,9527336,271,17,WGS84,"Muestra puntual de suelo tomada a 7,5 m en dirección noreste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo.",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:53:00 PM,406,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU02,479886,9527336,271,17,WGS84,"Muestra puntual de suelo tomada a 7,5 m en dirección noreste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo.",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:53:00 PM,<0.30,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU02,479886,9527336,271,17,WGS84,"Muestra puntual de suelo tomada a 7,5 m en dirección noreste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo.",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:53:00 PM,622,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU01,485906,9536489,83,17,WGS84,Muestra puntual de suelo tomada a 1 m en dirección sureste de la ubicación del pozo y a una profundidad de 0.2 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,2:55:00 PM,17866,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU01,485906,9536489,83,17,WGS84,Muestra puntual de suelo tomada a 1 m en dirección sureste de la ubicación del pozo y a una profundidad de 0.2 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,2:55:00 PM,19066,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU01,485906,9536489,83,17,WGS84,Muestra puntual de suelo tomada a 1 m en dirección sureste de la ubicación del pozo y a una profundidad de 0.2 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,2:55:00 PM,<0.30,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU01,485906,9536489,83,17,WGS84,Muestra puntual de suelo tomada a 1 m en dirección sureste de la ubicación del pozo y a una profundidad de 0.2 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,2:55:00 PM,36932,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU02,485901,9536483,83,17,WGS84,Muestra puntual de suelo tomada a 7.6 m en dirección sur de la ubicación del pozo y a una profundidad de 0.4 m de la superficie del suelo.,Simple,,,Ensayo por cromatografía - HTP,11/7/17,3:05:00 PM,1082,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU02,485901,9536483,83,17,WGS84,Muestra puntual de suelo tomada a 7.6 m en dirección sur de la ubicación del pozo y a una profundidad de 0.4 m de la superficie del suelo.,Simple,,,Ensayo por cromatografía - HTP,11/7/17,3:05:00 PM,1739,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU02,485901,9536483,83,17,WGS84,Muestra puntual de suelo tomada a 7.6 m en dirección sur de la ubicación del pozo y a una profundidad de 0.4 m de la superficie del suelo.,Simple,,,Ensayo por cromatografía - HTP,11/7/17,3:05:00 PM,<0.30,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00009-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05466,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05466-SU02,485901,9536483,83,17,WGS84,Muestra puntual de suelo tomada a 7.6 m en dirección sur de la ubicación del pozo y a una profundidad de 0.4 m de la superficie del suelo.,Simple,,,Ensayo por cromatografía - HTP,11/7/17,3:05:00 PM,2821,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Acenafteno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Acenaftileno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Antraceno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Benzo (a) Antraceno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Benzo (a) Pireno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Benzo (b) Fluoranteno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,"Benzo (g,h,i) Perileno",mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Benzo (k) Fluoranteno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Criseno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,"Dibenzo (a,h) Antraceno",mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Fenantreno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Fluoranteno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Fluoreno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,"Indeno (1,2,3 cd) Pireno",mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Naftaleno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - PAHS,1/15/19,9:22:00 AM,<0.0054,Pireno,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - HTP,1/15/19,9:22:00 AM,<1.9,Fracciones de Hidrocarburos F1 (C6-C10),mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - HTP,1/15/19,9:22:00 AM,<6.8,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Ensayo por cromatografía - HTP,1/15/19,9:22:00 AM,"33,3",Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,<3.0,Plata,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,15877,Aluminio,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,<17.5,Arsénico,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,"133,8",Bario,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,<1.5,Berilio,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,1131,Calcio,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,<1.0,Cadmio,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,"11,6",Cobalto,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,"24,1",Cromo Total,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,"18,5",Cobre,mg/Kg
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Suelo,Suelo,Área de potencial interés,F01861-SU04,601338,9506256,87,18,WGS84,"Muestra puntual de suelo tomada a 86 m en dirección norte de la ubicación del pozo y a una profundidad de 0,15 m de la superficie del suelo.",Simple,,,Metales totales,1/15/19,9:22:00 AM,19729,Hierro,mg/Kg
