Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,GrupoTamizaje,DetalleTamizaje,Casos
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,5 - 9,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,6
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,40 - 59,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,14
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,18
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,9
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,181
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,18
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,11
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,11
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,35
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,38
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,164
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,155
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,5
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,3
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,8
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,17
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,24
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,17
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,14
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,10
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,165
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,29
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,4
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,5 - 9,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,60 - 79,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,11
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,497
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,4
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,9
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,501
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,25 - 29,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,12 - 14,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,3
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,4
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,60 - 79,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE TABACO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,80  +,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,91
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,10 - 11,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,25 - 29,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,1 - 4,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,1 - 4,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,1 - 4,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,12 - 14,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,3
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,15
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,8
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,30 - 39,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,40 - 59,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,23
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,8
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,37
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,14
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,12 - 14,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,14
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,7
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,30 - 39,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,9
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,7
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,5 - 9,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,9
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,5 - 9,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,12
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,23
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,6
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,95
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,152
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,18 - 24,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,5
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,16
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,19
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,M,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,48
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,42
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,18 - 24,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,5
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,93
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,16
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,5 - 9,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,102
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,80  +,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,7
