Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,Diagnostico,Atendidos,Atenciones
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,18 - 24,TRASTORNO DEPRESIVO,3,3
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,4
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,30 - 39,ANSIEDAD,2,2
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,40 - 59,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,30 - 39,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,10 - 11,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6,9
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,4
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,15 - 17,"TRASTORNOS ALIMENTARIOS (F500 - F508 ANOREXIA, BULIMIA)",1,1
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,25 - 29,TRASTORNO DEPRESIVO,3,3
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,12 - 14,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,10 - 11,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),2,3
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,25 - 29,TRASTORNO CONSUMO DE ALCOHOL,0,2
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,30 - 39,ANSIEDAD,6,8
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,40 - 59,ANSIEDAD,14,19
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,60 - 79,TRASTORNO DEPRESIVO,3,4
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,0,3
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,40 - 59,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,15 - 17,ANSIEDAD,2,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,18 - 24,TRASTORNO CONSUMO DE OTRAS DROGAS,1,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,5 - 9,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),3,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3,9
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 - 79,ANSIEDAD,1,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,12 - 14,ANSIEDAD,2,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,18 - 24,ANSIEDAD,9,22
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30 - 39,TRASTORNO DEPRESIVO,4,5
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,40 - 59,TRASTORNO DEPRESIVO,6,7
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18 - 24,TRASTORNO CONSUMO DE ALCOHOL,0,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,5 - 9,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),7,8
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7,10
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,60 - 79,ANSIEDAD,0,3
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,18 - 24,ANSIEDAD,6,6
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,40 - 59,TRASTORNO DEPRESIVO,8,9
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,4
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,60 - 79,ANSIEDAD,2,2
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,30 - 39,TRASTORNO DEPRESIVO,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,18 - 24,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,TRASTORNO CONSUMO DE OTRAS DROGAS,2,2
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,30 - 39,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13,13
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,12 - 14,ANSIEDAD,1,3
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,15 - 17,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3,5
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,30 - 39,ANSIEDAD,1,1
2017,1,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,40 - 59,ANSIEDAD,0,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,15 - 17,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,30 - 39,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,2
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,60 - 79,TRASTORNO CONSUMO DE ALCOHOL,0,2
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,15 - 17,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,18 - 24,ANSIEDAD,13,13
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,40 - 59,TRASTORNO DEPRESIVO,6,7
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,5 - 9,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),11,12
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,10 - 11,ANSIEDAD,0,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,ANSIEDAD,7,7
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,ANSIEDAD,3,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,TRASTORNO DEPRESIVO,5,6
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,25 - 29,TRASTORNO CONSUMO DE ALCOHOL,1,6
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,TRASTORNO DEPRESIVO,1,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 - 79,TRASTORNO CONSUMO DE ALCOHOL,2,5
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,10 - 11,ANSIEDAD,0,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,12 - 14,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,6
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),4,5
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,ANSIEDAD,1,3
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,TRASTORNO CONSUMO DE ALCOHOL,1,3
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7,13
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,ANSIEDAD,2,3
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,0,1
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,TRASTORNO CONSUMO DE ALCOHOL,0,1
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,7
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,12 - 14,ANSIEDAD,0,2
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,15 - 17,TRASTORNO CONSUMO DE ALCOHOL,0,1
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,15 - 17,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,2
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,60 - 79,ANSIEDAD,0,1
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,80  +,TRASTORNO DEPRESIVO,0,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,6
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,40 - 59,"TRASTORNOS ALIMENTARIOS (F500 - F508 ANOREXIA, BULIMIA)",1,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,80  +,"TRASTORNOS ALIMENTARIOS (F500 - F508 ANOREXIA, BULIMIA)",0,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,12 - 14,ANSIEDAD,1,4
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30 - 39,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,40 - 59,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,2
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,60 - 79,ANSIEDAD,1,2
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,60 - 79,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,18 - 24,ANSIEDAD,1,1
2017,2,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,ANSIEDAD,0,2
2017,2,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,TRASTORNO DEPRESIVO,0,5
2017,2,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,40 - 59,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,7
2017,2,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,80  +,TRASTORNO DEPRESIVO,0,1
2017,2,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,1 - 4,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,1
2017,2,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,3
2017,2,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,2,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,18 - 24,TRASTORNO CONSUMO DE OTRAS DROGAS,1,1
2017,2,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,60 - 79,ANSIEDAD,2,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,TRASTORNO DEPRESIVO,10,12
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,ANSIEDAD,8,9
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,0,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,TRASTORNO CONSUMO DE OTRAS DROGAS,0,4
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,ANSIEDAD,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,10 - 11,TRASTORNO DEPRESIVO,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,10 - 11,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,12 - 14,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6,6
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,15 - 17,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,ANSIEDAD,3,4
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,10 - 11,TRASTORNO DEPRESIVO,1,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,10 - 11,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4,5
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7,7
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,25 - 29,ANSIEDAD,0,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,10 - 11,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,40 - 59,ANSIEDAD,3,3
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,60 - 79,TRASTORNO DEPRESIVO,5,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,12 - 14,TRASTORNO DEPRESIVO,0,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7,8
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,ANSIEDAD,1,2
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,30 - 39,TRASTORNO DEPRESIVO,6,12
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,40 - 59,TRASTORNO DEPRESIVO,2,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,12 - 14,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6,12
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,15 - 17,ANSIEDAD,0,4
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,60 - 79,TRASTORNO CONSUMO DE ALCOHOL,0,2
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,1 - 4,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,30 - 39,ANSIEDAD,2,3
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,40 - 59,ANSIEDAD,1,2
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,5 - 9,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,10 - 11,TRASTORNO DEPRESIVO,0,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,12 - 14,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,2
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,15 - 17,TRASTORNO DEPRESIVO,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,15 - 17,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,TRASTORNO DEPRESIVO,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,ANSIEDAD,0,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,80  +,TRASTORNO DEPRESIVO,0,2
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,12 - 14,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30 - 39,ANSIEDAD,3,4
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30 - 39,TRASTORNO DEPRESIVO,5,6
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,40 - 59,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,5 - 9,ANSIEDAD,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,15 - 17,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,60 - 79,ANSIEDAD,14,14
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,18 - 24,ANSIEDAD,4,4
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,ANSIEDAD,1,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,40 - 59,TRASTORNO DEPRESIVO,1,2
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,25 - 29,TRASTORNO DEPRESIVO,3,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,30 - 39,ANSIEDAD,1,3
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,40 - 59,ANSIEDAD,2,4
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,TRASTORNO DEPRESIVO,3,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,TRASTORNO DEPRESIVO,4,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,0,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,40 - 59,TRASTORNO CONSUMO DE ALCOHOL,1,7
2017,1,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,15 - 17,TRASTORNO DEPRESIVO,0,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,10 - 11,ANSIEDAD,0,1
2017,1,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,18 - 24,ANSIEDAD,1,1
2017,1,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,40 - 59,ANSIEDAD,2,2
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,ANSIEDAD,2,2
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,TRASTORNO DEPRESIVO,3,5
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,5 - 9,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,2
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,5 - 9,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,7
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6,8
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,3
2017,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,18 - 24,TRASTORNO CONSUMO DE ALCOHOL,4,15
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,5 - 9,TRASTORNO DEPRESIVO,0,1
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,3
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,10 - 11,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),2,3
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,10 - 11,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3,3
2017,2,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,ANSIEDAD,0,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,30 - 39,TRASTORNO DEPRESIVO,5,5
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,5,5
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,10 - 11,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,0,1
2017,2,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,25 - 29,ANSIEDAD,0,1
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,1 - 4,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,10 - 11,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),0,1
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,18 - 24,TRASTORNO DEPRESIVO,1,1
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,TRASTORNO CONSUMO DE ALCOHOL,2,4
2017,2,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,30 - 39,TRASTORNO CONSUMO DE ALCOHOL,1,1
2017,2,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2,7
